processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Xeon® 6349P Processor (18M Cache- 3.60 GHz),Xeon_Processors,6,12,5.7,3.6,18.0,35.0,115.0,506.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6353P Processor (24M Cache- 2.70 GHz),Xeon_Processors,8,16,5.4,2.7,24.0,35.0,115.0,426.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6357P Processor (24M Cache- 3.00 GHz),Xeon_Processors,8,16,5.4,3.0,24.0,35.0,115.0,556.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6369P Processor (24M Cache 3.30 GHz),Xeon_Processors,8,16,5.7,3.3,24.0,35.0,115.0,606.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6503P-B Processor (48M Cache- 2.00 GHz),Xeon_Processors,12,24,3.5,2.0,48.0,35.0,115.0,934.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6505P Processor (48M Cache- 2.20 GHz),Xeon_Processors,12,24,4.1,2.2,48.0,35.0,115.0,563.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6507P Processor (48M Cache- 3.50 GHz),Xeon_Processors,8,16,4.3,3.5,48.0,35.0,115.0,765.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6511P Processor (72M Cache- 2.30 GHz),Xeon_Processors,16,32,4.2,2.3,72.0,35.0,115.0,815.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6513P-B Processor (80M Cache- 2.00 GHz),Xeon_Processors,20,40,3.3,2.0,80.0,35.0,115.0,1399.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6515P Processor (72M Cache- 2.30 GHz),Xeon_Processors,16,32,3.8,2.3,72.0,35.0,115.0,740.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
